Full_Plot_Number,Genotype,Chlorophyll,Treatment,Block,Row,Range
30531,PI613536,402.6,HN,3,67,5
30532,PI655974,545,HN,3,68,5
30533,PI656046,542.4,HN,3,69,5
30535,PI655981,437,HN,3,71,5
30536,PI566819,435.3,HN,3,72,5
30601,PI533839,381,HN,3,37,6
30602,PI533755,547.3,HN,3,38,6
30603,PI533843,563.9,HN,3,39,6
30604,PI533998,566.4,HN,3,40,6
30606,PI595699,512.2,HN,3,42,6
30607,PI576426,622.4,HN,3,43,6
30608,PI656004,,HN,3,44,6
30609,PI656016,697.1,HN,3,45,6
30610,PI656026,537.4,HN,3,46,6
30611,PI656091,516.1,HN,3,47,6
30612,PI656113,525.8,HN,3,48,6
30613,PI533957,596.8,HN,3,49,6
30614,PI534075,577.8,HN,3,50,6
30616,PI533833,463.4,HN,3,52,6
30617,PI595745,426.2,HN,3,53,6
30618,PI595718,548,HN,3,54,6
30619,PI655998,619.2,HN,3,55,6
30621,PI656025,421.3,HN,3,57,6
30622,PI656104,474.4,HN,3,58,6
30623,PI656109,748.8,HN,3,59,6
30624,PI655999,620.1,HN,3,60,6
30625,PI17548,423.6,HN,3,61,6
30626,PI534132,,HN,3,62,6
30627,PI533855,444.3,HN,3,63,6
30628,PI533794,414.8,HN,3,64,6
30629,PI576387,445.2,HN,3,65,6
30630,PI576393,600.1,HN,3,66,6
30631,PI641849,576.6,HN,3,67,6
30632,PI597976,662.3,HN,3,68,6
30633,PI656090,479.9,HN,3,69,6
30634,PI656114,655.2,HN,3,70,6
30635,PI656084,573.5,HN,3,71,6
30636,PI656043,472.6,HN,3,72,6
30701,PI533799,404.9,HN,3,37,7
30703,PI533882,638.4,HN,3,39,7
30704,PI561071,449.9,HN,3,40,7
30705,PI656036,299.3,HN,3,41,7
30706,PI656014,436,HN,3,42,7
30707,PI656024,433.8,HN,3,43,7
30708,PI656028,428.4,HN,3,44,7
30709,PI656086,607.4,HN,3,45,7
30710,Tx430,,HN,3,46,7
30711,PI656049,625,HN,3,47,7
30712,PI655984,575.2,HN,3,48,7
30713,PI533919,534.9,HN,3,49,7
30714,PI534155,615,HN,3,50,7
30715,PI533841,548,HN,3,51,7
30717,PI655997,379.3,HN,3,53,7
30718,PI655978,453.4,HN,3,54,7
30719,PI561072,664.7,HN,3,55,7
30721,PI655980,617.8,HN,3,57,7
30722,PI598070,479.4,HN,3,58,7
30724,PI656056,622.6,HN,3,60,7
30725,PI533759,406.6,HN,3,61,7
30726,PI533911,400.6,HN,3,62,7
30727,PI533760,,HN,3,63,7
30728,PI533750,632.4,HN,3,64,7
30729,PI597968,596.7,HN,3,65,7
30730,PI576425,588.3,HN,3,66,7
30731,PI597982,432.1,HN,3,67,7
30732,PI534115,487.6,HN,3,68,7
30733,PI656096,621.1,HN,3,69,7
30734,PI655982,529.6,HN,3,70,7
30735,PI655993,486.7,HN,3,71,7
30736,PI656022,413.4,HN,3,72,7
30801,PI533989,510,HN,3,37,8
30803,PI276837,452,HN,3,39,8
30804,PI533967,542.8,HN,3,40,8
30805,PI655995,399.9,HN,3,41,8
30808,PI576428,555.2,HN,3,44,8
30809,PI656048,539.4,HN,3,45,8
30811,PI656057,408.2,HN,3,47,8
30812,PI656107,490.8,HN,3,48,8
30813,PI533757,411.1,HN,3,49,8
30814,PI533901,415.8,HN,3,50,8
30815,PI533845,524.2,HN,3,51,8
30816,PI533821,603,HN,3,52,8
30817,PI576333,666.2,HN,3,53,8
30818,PI576373,407.5,HN,3,54,8
30819,PI642791,596,HN,3,55,8
30821,PI656075,530.9,HN,3,57,8
30822,PI656118,373,HN,3,58,8
30823,PI656058,530.4,HN,3,59,8
30824,PI656082,614.9,HN,3,60,8
30825,PI534037,339.7,HN,3,61,8
30826,PI533986,638.6,HN,3,62,8
30827,PI533915,534.8,HN,3,63,8
30828,PI533921,524.7,HN,3,64,8
30829,PI595714,573.2,HN,3,65,8
30830,PI597958,611,HN,3,66,8
30831,PI629034,391.7,HN,3,67,8
30832,PI576352,722.9,HN,3,68,8
30833,PI656108,734.1,HN,3,69,8
30834,PI656085,487.2,HN,3,70,8
30901,PI533824,396.8,HN,3,37,9
30902,PI565121,594.1,HN,3,38,9
30903,PI534028,559.5,HN,3,39,9
30904,PI24969,500.6,HN,3,40,9
30905,PI651496,423.1,HN,3,41,9
30906,PI656037,513.8,HN,3,42,9
30907,PI656042,476.4,HN,3,43,9
30908,PI642992,448.7,HN,3,44,9
30909,PI656111,427.4,HN,3,45,9
30910,PI656062,357.8,HN,3,46,9
30911,PI656076,433.5,HN,3,47,9
30913,PI534112,612.2,HN,3,49,9
30914,PI534128,513.5,HN,3,50,9
30915,PI533822,449.1,HN,3,51,9
30916,PI533761,560,HN,3,52,9
30917,PI576418,,HN,3,53,9
30918,PI655976,559.8,HN,3,54,9
30919,PI656011,370.7,HN,3,55,9
30920,PI607931,514.9,HN,3,56,9
30921,PI656093,410.4,HN,3,57,9
30923,PI656079,533.3,HN,3,59,9
30924,PI656031,482.3,HN,3,60,9
30925,PI533948,670.6,HN,3,61,9
30926,PI533758,519.9,HN,3,62,9
30927,PI533997,413.7,HN,3,63,9
30928,PI533954,527.4,HN,3,64,9
30929,PI597965,600.1,HN,3,65,9
30930,PI595720,701.1,HN,3,66,9
30931,PI534124,493.3,HN,3,67,9
30932,PI629059,551.1,HN,3,68,9
30933,PI655983,356.5,HN,3,69,9
30934,PI656115,361,HN,3,70,9
30935,PI656078,510.6,HN,3,71,9
30936,PI656052,433.5,HN,3,72,9
31001,PI561472,504.8,HN,3,37,10
31002,PI576359,321.7,HN,3,38,10
31003,PI576130,445.9,HN,3,39,10
31004,PI48770,507.7,HN,3,40,10
31005,PI595739,402.6,HN,3,41,10
31006,PI656023,470.1,HN,3,42,10
31008,PI597964,414.4,HN,3,44,10
31009,Tx430,537.9,HN,3,45,10
31010,PI656051,425.1,HN,3,46,10
31011,PI659753,495.4,HN,3,47,10
31012,PI585291,,HN,3,48,10
31013,PI534054,497.6,HN,3,49,10
31014,PI534096,502.6,HN,3,50,10
31015,PI533856,523,HN,3,51,10
31016,PI534148,,HN,3,52,10
31017,PI576422,565.1,HN,3,53,10
31018,PI576375,652,HN,3,54,10
31019,PI656001,510,HN,3,55,10
31020,PI576401,645.8,HN,3,56,10
31021,PI659691,276.4,HN,3,57,10
31022,PI656097,454.8,HN,3,58,10
31023,PI656071,393.7,HN,3,59,10
31025,PI533866,608.5,HN,3,61,10
31027,PI533910,471.6,HN,3,63,10
31028,PI533912,584.3,HN,3,64,10
31029,PI576394,629.2,HN,3,65,10
31032,PI576390,,HN,3,68,10
31033,PI656095,504.8,HN,3,69,10
31034,PI35038,362.3,HN,3,70,10
31035,PI656089,491.7,HN,3,71,10
31036,PI656094,426.8,HN,3,72,10
31101,PI576345,522.6,HN,3,37,11
31102,PI533789,531.1,HN,3,38,11
31103,PI576380,475.7,HN,3,39,11
31104,PI533927,496.4,HN,3,40,11
31105,PI656041,507,HN,3,41,11
31106,PI656044,535.9,HN,3,42,11
31107,PI601816,352.7,HN,3,43,11
31108,PI609456,441.5,HN,3,44,11
31109,PI656073,465.7,HN,3,45,11
31110,PI653617,334.9,HN,3,46,11
31111,PI656083,558.3,HN,3,47,11
31112,Tx430,,HN,3,48,11
31113,PI533842,431.9,HN,3,49,11
31114,PI534127,638.2,HN,3,50,11
31115,PI533964,530.7,HN,3,51,11
31116,PI533810,430.5,HN,3,52,11
31117,PI655972,477.2,HN,3,53,11
31118,PI561073,363.7,HN,3,54,11
31119,PI534163,334.4,HN,3,55,11
31120,PI576386,534.1,HN,3,56,11
31121,PI641836,467.1,HN,3,57,11
31122,PI656018,533.8,HN,3,58,11
31123,PI655989,481.7,HN,3,59,11
31124,PI659695,515.3,HN,3,60,11
31125,PI533776,430,HN,3,61,11
31127,PI533955,727.1,HN,3,63,11
31128,PI534070,470.1,HN,3,64,11
31129,PI534105,467.6,HN,3,65,11
31130,PI534101,399.2,HN,3,66,11
31131,PI534108,411.2,HN,3,67,11
31132,PI597971,419.6,HN,3,68,11
31133,PI656080,545.6,HN,3,69,11
31134,PI656000,691.1,HN,3,70,11
31135,PI656005,561.1,HN,3,71,11
31136,PI655971,519.3,HN,3,72,11
31202,PI533878,641.8,HN,3,38,12
31203,PI34911,406.6,HN,3,39,12
31204,PI574455,610.7,HN,3,40,12
31206,PI597960,398.1,HN,3,42,12
31207,PI655970,536,HN,3,43,12
31208,PI656008,372.3,HN,3,44,12
31209,PI656092,588.3,HN,3,45,12
31210,PI641824,436.9,HN,3,46,12
31211,PI656068,611.6,HN,3,47,12
31212,PI656099,398.9,HN,3,48,12
31214,PI534157,475.8,HN,3,50,12
31215,PI533869,515.3,HN,3,51,12
31216,PI533852,545.5,HN,3,52,12
31217,PI597973,552.4,HN,3,53,12
31218,PI656012,542.8,HN,3,54,12
31219,PI576376,618.7,HN,3,55,12
31220,PI564164,347.5,HN,3,56,12
31221,PI656072,562.4,HN,3,57,12
31224,PI656059,490.4,HN,3,60,12
31225,PI533830,665.2,HN,3,61,12
31226,PI533991,443.7,HN,3,62,12
31227,PI533838,,HN,3,63,12
31228,PI533949,430.5,HN,3,64,12
31229,PI576339,594.4,HN,3,65,12
31230,PI576364,463,HN,3,66,12
31231,PI597957,497.5,HN,3,67,12
31232,PI597952,649.8,HN,3,68,12
31233,PI656077,641.7,HN,3,69,12
31234,PI655991,645.4,HN,3,70,12
31236,PI656060,579.4,HN,3,72,12
20101,PI534021,438.4,HN,2,1,13
20102,PI533980,422.6,HN,2,2,13
20103,PI533839,336.4,HN,2,3,13
