Full_Plot_Number,Genotype,Chlorophyll,Treatment,Block,Row,Range
21001,PI533871,466.3,HN,2,1,22
21003,PI534088,536.1,HN,2,3,22
21004,PI533970,374.2,HN,2,4,22
21005,PI576393,472.5,HN,2,5,22
21006,PI655977,500.7,HN,2,6,22
21007,PI642793,698.4,HN,2,7,22
21008,PI564163,431.2,HN,2,8,22
21011,PI656043,404.5,HN,2,11,22
21012,PI655981,324.6,HN,2,12,22
21013,PI533869,459.1,HN,2,13,22
21014,PI534157,465.5,HN,2,14,22
21015,PI533821,537.2,HN,2,15,22
21016,PI534148,548.8,HN,2,16,22
21019,PI656001,438.3,HN,2,19,22
21020,PI576376,670.2,HN,2,20,22
21021,PI656118,382.9,HN,2,21,22
21022,PI598070,334.8,HN,2,22,22
21023,PI656056,547.8,HN,2,23,22
21024,PI659691,273,HN,2,24,22
21025,PI533979,582.7,HN,2,25,22
21026,PI533961,578.3,HN,2,26,22
21028,PI533769,391.3,HN,2,28,22
21029,PI595718,446.4,HN,2,29,22
21031,PI534099,444.1,HN,2,31,22
21032,PI655998,537.6,HN,2,32,22
21033,PI656098,363.7,HN,2,33,22
21034,PI656105,403.3,HN,2,34,22
21035,PI656081,511.9,HN,2,35,22
21036,PI655985,513.4,HN,2,36,22
21101,PI533937,710,HN,2,1,23
21103,PI533938,507.7,HN,2,3,23
21104,PI533976,374,HN,2,4,23
21105,PI613536,349.4,HN,2,5,23
21106,PI597966,375.3,HN,2,6,23
21107,PI576387,373.6,HN,2,7,23
21108,PI642998,325.8,HN,2,8,23
21109,PI659696,543.8,HN,2,9,23
21110,PI552856,474.4,HN,2,10,23
21112,PI656046,369.2,HN,2,12,23
21113,PI533810,467,HN,2,13,23
21114,PI534054,526.2,HN,2,14,23
21116,PI533761,481.7,HN,2,16,23
21117,PI576401,,HN,2,17,23
21118,PI655976,516.3,HN,2,18,23
21119,PI597973,489.6,HN,2,19,23
21120,PI655972,385.5,HN,2,20,23
21122,PI656071,316.4,HN,2,22,23
21123,PI656093,280.4,HN,2,23,23
21124,PI656031,395.9,HN,2,24,23
21126,PI533936,582.4,HN,2,26,23
21127,PI329440,522.1,HN,2,27,23
21128,PI534075,471.3,HN,2,28,23
21129,PI534117,677.7,HN,2,29,23
21130,PI597961,,HN,2,30,23
21131,PI597950,298.4,HN,2,31,23
21132,PI534123,569.7,HN,2,32,23
21133,PI656101,526,HN,2,33,23
21135,PI656120,502.1,HN,2,35,23
21136,PI656119,462.9,HN,2,36,23
21201,PI533752,385.8,HN,2,1,24
21202,PI533794,476.9,HN,2,2,24
21203,PI533876,632.5,HN,2,3,24
21204,PI534132,515.3,HN,2,4,24
21205,PI655973,331.8,HN,2,5,24
21206,PI534167,299.7,HN,2,6,24
21207,PI597976,635.5,HN,2,7,24
21208,PI576437,555.9,HN,2,8,24
21209,PI655986,498.8,HN,2,9,24
21210,PI656102,338.4,HN,2,10,24
21211,PI656084,570.6,HN,2,11,24
21212,PI656114,482.5,HN,2,12,24
21213,PI533841,555.2,HN,2,13,24
21214,PI533901,475.5,HN,2,14,24
21215,PI534155,655.8,HN,2,15,24
21216,PI534096,477,HN,2,16,24
21217,PI561073,312.9,HN,2,17,24
21218,PI642791,508.1,HN,2,18,24
21219,PI576333,605,HN,2,19,24
21220,PI656012,476.5,HN,2,20,24
21221,PI656072,623.5,HN,2,21,24
21222,PI655980,300.2,HN,2,22,24
21223,PI656075,575.5,HN,2,23,24
21224,PI655989,549.4,HN,2,24,24
21225,PI533785,450.1,HN,2,25,24
21226,PI534097,459.2,HN,2,26,24
21227,PI533913,371.5,HN,2,27,24
21228,PI534063,486,HN,2,28,24
21229,PI576332,629.4,HN,2,29,24
21230,PI534145,464.2,HN,2,30,24
21231,PI552861,599.5,HN,2,31,24
21232,PI597972,514.4,HN,2,32,24
21233,PI656112,717.4,HN,2,33,24
21234,PI656019,530,HN,2,34,24
21235,PI659693,693.4,HN,2,35,24
21236,PI656038,344.9,HN,2,36,24
10101,PI533919,567.2,LN,1,1,1
10102,PI533761,395.4,LN,1,2,1
10103,PI534096,292.4,LN,1,3,1
10104,PI533964,484.6,LN,1,4,1
10105,PI576422,562.7,LN,1,5,1
10106,PI534163,393.4,LN,1,6,1
10107,PI576418,,LN,1,7,1
10108,PI564164,323.8,LN,1,8,1
10109,PI641836,388.9,LN,1,9,1
10111,PI656056,452.2,LN,1,11,1
10112,PI655989,540.6,LN,1,12,1
10113,PI533936,419.2,LN,1,13,1
10114,PI533996,473.8,LN,1,14,1
10115,PI533987,384.1,LN,1,15,1
10116,PI533769,391.8,LN,1,16,1
10118,PI595741,380.4,LN,1,18,1
10119,PI552861,545.1,LN,1,19,1
10120,PI534123,578.8,LN,1,20,1
10121,PI656116,366.1,LN,1,21,1
10122,PI656109,665.9,LN,1,22,1
10123,PI659693,567.7,LN,1,23,1
10124,PI656098,504.7,LN,1,24,1
10125,PI533839,395.9,LN,1,25,1
10126,PI533965,523.5,LN,1,26,1
10127,PI533903,508.9,LN,1,27,1
10128,PI534114,496.5,LN,1,28,1
10129,PI655996,,LN,1,29,1
10130,PI576434,425.5,LN,1,30,1
10131,PI585295,458.8,LN,1,31,1
10132,PI576381,439.2,LN,1,32,1
10134,PI656015,467.6,LN,1,34,1
10135,PI656091,523.2,LN,1,35,1
10136,PI656053,355.1,LN,1,36,1
10201,PI534128,471.6,LN,1,1,2
10202,PI533822,354.9,LN,1,2,2
10203,PI533841,505.1,LN,1,3,2
10204,PI533856,445.5,LN,1,4,2
10205,PI576386,499.5,LN,1,5,2
10206,PI576375,508.4,LN,1,6,2
10208,PI576333,635.1,LN,1,8,2
10209,PI656079,353.5,LN,1,9,2
10211,PI656072,436.7,LN,1,11,2
10212,PI656118,387.4,LN,1,12,2
10214,PI533957,504,LN,1,14,2
10215,PI533754,535.6,LN,1,15,2
10217,PI597950,340.6,LN,1,17,2
10218,PI534099,496.9,LN,1,18,2
10219,PI597972,388.7,LN,1,19,2
10220,PI576332,536.9,LN,1,20,2
10221,PI655999,403.8,LN,1,21,2
10223,PI656104,445.2,LN,1,23,2
10224,PI656025,382.7,LN,1,24,2
10225,PI533843,578.7,LN,1,25,2
10226,PI533943,534.2,LN,1,26,2
10228,PI533924,647.9,LN,1,28,2
10229,PI656004,458.2,LN,1,29,2
10231,PI629040,415.4,LN,1,31,2
10232,PI576396,520.9,LN,1,32,2
10233,PI656029,427.8,LN,1,33,2
10235,PI656039,369.9,LN,1,35,2
10236,PI656007,459.8,LN,1,36,2
10301,PI534157,456.3,LN,1,1,3
10302,PI533842,400.8,LN,1,2,3
10303,PI533757,355.4,LN,1,3,3
10304,PI534112,317.9,LN,1,4,3
10305,PI561073,341.3,LN,1,5,3
10306,PI642791,540.2,LN,1,6,3
10307,PI576373,357,LN,1,7,3
10308,PI656001,532.6,LN,1,8,3
10309,PI655980,,LN,1,9,3
10310,PI656071,312.2,LN,1,10,3
10312,PI656031,400.1,LN,1,12,3
10313,PI533940,530.8,LN,1,13,3
10314,PI533766,369.3,LN,1,14,3
10315,PI534075,500.7,LN,1,15,3
10316,PI533939,396.4,LN,1,16,3
10317,PI576347,527.8,LN,1,17,3
10319,PI597961,453.9,LN,1,19,3
10321,PI656019,474.6,LN,1,21,3
10322,PI656101,529.7,LN,1,22,3
10323,PI656081,515.3,LN,1,23,3
10324,PI656112,762.2,LN,1,24,3
10325,PI534053,380,LN,1,25,3
10326,PI533998,455.8,LN,1,26,3
10327,PI533902,333.3,LN,1,27,3
10328,PI533962,334.4,LN,1,28,3
10329,PI597949,509.3,LN,1,29,3
10330,PI548797,417.1,LN,1,30,3
10331,PI595740,371.7,LN,1,31,3
10332,PI656003,474.6,LN,1,32,3
10333,PI659694,456.2,LN,1,33,3
10334,PI656009,543.2,LN,1,34,3
10335,PI656040,,LN,1,35,3
10336,PI656061,407.4,LN,1,36,3
10401,PI534127,538,LN,1,1,4
10403,PI534054,420,LN,1,3,4
10404,PI533852,387.5,LN,1,4,4
10405,PI597973,404.7,LN,1,5,4
10406,PI655972,392.7,LN,1,6,4
10407,PI576401,543.2,LN,1,7,4
10408,PI607931,402.5,LN,1,8,4
10409,PI656058,516,LN,1,9,4
10410,PI656082,549.9,LN,1,10,4
10411,PI656075,443.1,LN,1,11,4
10412,PI659695,372.9,LN,1,12,4
10413,PI533833,394,LN,1,13,4
10414,PI534047,696.7,LN,1,14,4
10415,PI329440,402.8,LN,1,15,4
10416,PI533979,472.3,LN,1,16,4
10417,PI595745,438.4,LN,1,17,4
10418,PI576399,410.9,LN,1,18,4
10419,PI534117,560.4,LN,1,19,4
10420,PI576337,366.9,LN,1,20,4
10421,PI656120,418.1,LN,1,21,4
10422,PI656020,487,LN,1,22,4
10423,PI656105,362.9,LN,1,23,4
10424,PI656038,326,LN,1,24,4
10425,PI534009,367.6,LN,1,25,4
10426,PI533863,384.1,LN,1,26,4
10427,PI533755,463.7,LN,1,27,4
10428,PI533831,371.2,LN,1,28,4
10429,PI595699,475,LN,1,29,4
10430,PI656002,436.5,LN,1,30,4
10431,PI564165,398,LN,1,31,4
10432,PI655975,371.4,LN,1,32,4
10433,PI655988,630.3,LN,1,33,4
10435,PI656006,390.5,LN,1,35,4
10501,PI533845,467.2,LN,1,1,5
10503,PI533869,374.9,LN,1,3,5
10504,PI533901,263.7,LN,1,4,5
10505,PI655976,335.8,LN,1,5,5
10506,PI656012,453.1,LN,1,6,5
10507,PI655978,393.7,LN,1,7,5
10508,PI561072,519.8,LN,1,8,5
10509,PI656093,420.3,LN,1,9,5
10511,PI656059,410.3,LN,1,11,5
10512,PI656018,493,LN,1,12,5
10514,PI534063,653.7,LN,1,14,5
10515,PI534097,388.4,LN,1,15,5
10516,PI533913,247.4,LN,1,16,5
10517,PI655998,462.2,LN,1,17,5
10518,PI534145,391.2,LN,1,18,5
10519,PI641874,342.2,LN,1,19,5
10520,PI595718,549.6,LN,1,20,5
10521,PI655985,449.4,LN,1,21,5
10522,PI656119,380.6,LN,1,22,5
10523,PI656121,520.9,LN,1,23,5
10524,PI656010,510.8,LN,1,24,5
10526,PI533980,433.2,LN,1,26,5
10527,PI533972,427.7,LN,1,27,5
10528,PI534021,345.3,LN,1,28,5
10529,PI576349,476.5,LN,1,29,5
10530,PI576348,569.4,LN,1,30,5
10531,PI595743,372.6,LN,1,31,5
10533,PI656117,409.4,LN,1,33,5
10534,PI656034,376.1,LN,1,34,5
10535,PI656069,386.7,LN,1,35,5
10536,PI656016,574.5,LN,1,36,5
10601,PI534148,619.4,LN,1,1,6
10602,PI533810,374.6,LN,1,2,6
10603,PI534155,412.6,LN,1,3,6
10604,PI533821,508.3,LN,1,4,6
10606,PI576376,545,LN,1,6,6
10607,PI655997,299.7,LN,1,7,6
10608,PI656011,298.4,LN,1,8,6
10609,PI659691,276.4,LN,1,9,6
10610,PI656097,413.2,LN,1,10,6
10612,PI598070,,LN,1,12,6
10613,PI533792,479.3,LN,1,13,6
10614,PI533785,326.5,LN,1,14,6
10615,PI533961,516.5,LN,1,15,6
10616,PI534092,472.4,LN,1,16,6
10617,PI595702,374.9,LN,1,17,6
10618,PI576366,503.6,LN,1,18,6
10619,PI534116,551,LN,1,19,6
10620,PI655987,401.2,LN,1,20,6
10622,PI656087,360.6,LN,1,22,6
10623,PI656047,385,LN,1,23,6
10624,PI656055,414.6,LN,1,24,6
10625,PI534133,358.2,LN,1,25,6
10626,PI533814,378.1,LN,1,26,6
10627,PI533807,307.6,LN,1,27,6
10628,PI533800,432.4,LN,1,28,6
10629,PI576426,492.2,LN,1,29,6
10631,PI576340,533.8,LN,1,31,6
10632,PI534135,463.4,LN,1,32,6
10633,PI656070,337.6,LN,1,33,6
10634,PI656026,463.3,LN,1,34,6
10635,PI656110,334.1,LN,1,35,6
10636,PI656113,451.2,LN,1,36,6
10701,PI533878,484.8,LN,1,1,7
10702,PI576380,404.5,LN,1,2,7
10703,PI576345,484,LN,1,3,7
10704,PI534028,479.7,LN,1,4,7
10705,PI597960,324.1,LN,1,5,7
10706,PI656041,450.1,LN,1,6,7
10707,PI656028,366.8,LN,1,7,7
10708,PI656042,550.3,LN,1,8,7
10709,PI656068,526.2,LN,1,9,7
10710,PI656062,334.6,LN,1,10,7
10712,PI656107,322.6,LN,1,12,7
10713,PI533776,493.1,LN,1,13,7
10714,PI533750,559.9,LN,1,14,7
10715,PI533997,425.2,LN,1,15,7
10716,PI533986,,LN,1,16,7
10717,PI595720,512.2,LN,1,17,7
10718,PI576394,517.1,LN,1,18,7
10719,PI576339,551.9,LN,1,19,7
10720,PI576425,499.7,LN,1,20,7
10721,PI656022,315.8,LN,1,21,7
10722,PI656000,559.5,LN,1,22,7
10723,PI655991,405.7,LN,1,23,7
10724,PI655982,398.1,LN,1,24,7
10725,PI534139,362.8,LN,1,25,7
10726,PI533985,339.8,LN,1,26,7
10727,PI533855,437.2,LN,1,27,7
10728,PI533752,389.2,LN,1,28,7
10731,PI564163,528.2,LN,1,31,7
10732,PI597951,432,LN,1,32,7
10733,PI655994,463.5,LN,1,33,7
10734,PI655981,369.7,LN,1,34,7
10736,PI656106,387.9,LN,1,36,7
10801,PI576130,352.7,LN,1,1,8
10802,PI34911,322.5,LN,1,2,8
10803,PI533967,397.4,LN,1,3,8
10804,PI276837,419.9,LN,1,4,8
10805,PI642992,356.9,LN,1,5,8
10806,PI655995,373.7,LN,1,6,8
10807,PI576428,503,LN,1,7,8
10808,PI601816,384.6,LN,1,8,8
10809,PI656083,417,LN,1,9,8
10810,PI656092,418.8,LN,1,10,8
10811,PI656051,348.5,LN,1,11,8
10812,PI656099,351,LN,1,12,8
10813,PI533838,605.2,LN,1,13,8
10814,PI534070,413.1,LN,1,14,8
10815,PI533954,357.2,LN,1,15,8
10816,PI533911,301.9,LN,1,16,8
10817,PI629034,343.3,LN,1,17,8
10818,PI576364,352.2,LN,1,18,8
10819,PI597957,368.2,LN,1,19,8
10820,PI595714,421.2,LN,1,20,8
10821,PI656108,555.8,LN,1,21,8
10822,PI655983,297,LN,1,22,8
10824,PI656052,360.3,LN,1,24,8
10825,PI533876,499.4,LN,1,25,8
10826,PI17548,320.8,LN,1,26,8
10827,PI534137,428.8,LN,1,27,8
10828,PI534132,422.6,LN,1,28,8
10829,PI542718,466.3,LN,1,29,8
10830,PI655974,407.6,LN,1,30,8
10831,PI597945,,LN,1,31,8
10832,PI655979,277.2,LN,1,32,8
10833,PI656114,502.1,LN,1,33,8
10834,PI656103,525.1,LN,1,34,8
10835,PI656035,242.6,LN,1,35,8
10836,PI656013,309.2,LN,1,36,8
10902,PI48770,459.9,LN,1,2,9
10903,PI533789,453.2,LN,1,3,9
10904,PI533989,461.4,LN,1,4,9
10905,PI595739,345.7,LN,1,5,9
10906,PI656023,426.7,LN,1,6,9
10907,PI651496,326.6,LN,1,7,9
10909,PI656076,382.1,LN,1,9,9
10910,PI656073,446.8,LN,1,10,9
10911,Tx430,,LN,1,11,9
10912,PI656048,,LN,1,12,9
10913,PI533949,494.7,LN,1,13,9
10914,PI533866,351.2,LN,1,14,9
10915,PI533991,417.7,LN,1,15,9
10917,PI534105,391.5,LN,1,17,9
10918,PI576352,634.3,LN,1,18,9
10919,PI534108,394.1,LN,1,19,9
10920,PI597952,475.7,LN,1,20,9
10921,PI656005,433.3,LN,1,21,9
10922,PI656096,508.1,LN,1,22,9
10923,PI656095,421.6,LN,1,23,9
10924,PI656085,371.4,LN,1,24,9
10925,PI533794,388.4,LN,1,25,9
10927,PI533976,391.3,LN,1,27,9
10928,PI533788,557.5,LN,1,28,9
10929,PI576393,402.6,LN,1,29,9
10930,PI595744,372.2,LN,1,30,9
10931,PI613536,390.3,LN,1,31,9
10932,PI642998,446,LN,1,32,9
10933,PI656090,399.7,LN,1,33,9
10934,PI656102,295.5,LN,1,34,9
10935,PI656033,358.5,LN,1,35,9
10936,PI656046,451.6,LN,1,36,9
11002,PI533927,428.3,LN,1,2,10
11003,PI533824,436.9,LN,1,3,10
11004,PI574455,392.1,LN,1,4,10
11005,PI656014,356.3,LN,1,5,10
11006,PI656024,357.9,LN,1,6,10
11007,PI597964,481.4,LN,1,7,10
11008,PI656008,296,LN,1,8,10
11009,PI656111,405.1,LN,1,9,10
11010,PI655984,532.4,LN,1,10,10
11011,PI653617,334.4,LN,1,11,10
11012,PI656049,431,LN,1,12,10
11013,PI533948,532.6,LN,1,13,10
11014,PI533915,271.3,LN,1,14,10
11015,PI534037,242.5,LN,1,15,10
11016,PI533830,454.9,LN,1,16,10
11017,PI597968,589.5,LN,1,17,10
11019,PI597965,415.3,LN,1,19,10
11020,PI629059,486.2,LN,1,20,10
11021,PI656094,310.3,LN,1,21,10
11023,PI655993,490.9,LN,1,23,10
11025,PI534079,406.6,LN,1,25,10
11026,PI533970,422.7,LN,1,26,10
11027,PI534104,432.4,LN,1,27,10
11028,PI533877,461.4,LN,1,28,10
11029,PI576437,534.1,LN,1,29,10
11030,PI597946,561.9,LN,1,30,10
11031,PI655973,312.7,LN,1,31,10
11032,PI641849,589.9,LN,1,32,10
11034,PI655990,377.9,LN,1,34,10
11102,PI533799,401.2,LN,1,2,11
11103,PI533882,633,LN,1,3,11
11104,PI24969,380.6,LN,1,4,11
11105,PI655970,484.8,LN,1,5,11
11106,PI609456,374,LN,1,6,11
11107,PI656036,358.5,LN,1,7,11
11108,PI656037,250.7,LN,1,8,11
11109,PI585291,425.3,LN,1,9,11
11111,PI641824,348.7,LN,1,11,11
11112,Tx430,,LN,1,12,11
11113,PI533912,466.9,LN,1,13,11
11114,PI533759,308,LN,1,14,11
11115,PI533758,397.3,LN,1,15,11
11116,PI533921,,LN,1,16,11
11118,PI597971,422.7,LN,1,18,11
11119,PI597982,375.3,LN,1,19,11
11120,PI576390,616.8,LN,1,20,11
11121,PI655971,465.9,LN,1,21,11
11122,PI656077,487.2,LN,1,22,11
11123,PI35038,332,LN,1,23,11
11124,PI656060,489.7,LN,1,24,11
11125,PI152651,376.5,LN,1,25,11
11126,PI533871,467.8,LN,1,26,11
11127,PI533937,594.8,LN,1,27,11
11128,PI533938,,LN,1,28,11
11129,PI597966,350.7,LN,1,29,11
11130,PI655977,518.5,LN,1,30,11
11131,PI534167,421.5,LN,1,31,11
11132,PI597980,341,LN,1,32,11
11133,PI656043,346,LN,1,33,11
11134,PI552856,503.5,LN,1,34,11
11135,PI659696,457.4,LN,1,35,11
11136,PI655986,389.2,LN,1,36,11
11201,PI561472,420,LN,1,1,12
11202,PI565121,553.8,LN,1,2,12
11203,PI576359,365.2,LN,1,3,12
11204,PI561071,269.3,LN,1,4,12
11207,PI656044,477.2,LN,1,7,12
11209,PI656057,323.8,LN,1,9,12
11210,Tx430,411.6,LN,1,10,12
11211,PI656086,499.1,LN,1,11,12
11212,PI659753,500.2,LN,1,12,12
11213,PI533910,347.8,LN,1,13,12
11214,PI533955,583.7,LN,1,14,12
11215,PI533760,,LN,1,15,12
11217,PI534115,408.4,LN,1,17,12
11218,PI597958,368.3,LN,1,18,12
11219,PI534101,347.5,LN,1,19,12
11220,PI534124,371.4,LN,1,20,12
11221,PI656078,428.9,LN,1,21,12
11222,PI656080,359.4,LN,1,22,12
11223,PI656089,462.4,LN,1,23,12
11224,PI656115,266.3,LN,1,24,12
11225,PI533762,539.4,LN,1,25,12
11227,PI534144,486.3,LN,1,27,12
11228,PI534088,333,LN,1,28,12
11229,PI576385,489.7,LN,1,29,12
11230,PI642793,544.6,LN,1,30,12
11231,PI576387,479.8,LN,1,31,12
11232,PI597976,411.8,LN,1,32,12
11233,PI566819,286.5,LN,1,33,12
11234,PI656084,401.5,LN,1,34,12
11236,PI655992,432.5,LN,1,36,12
40101,PI533822,419.9,LN,4,37,13
40102,PI533856,627.2,LN,4,38,13
40103,PI533821,526.6,LN,4,39,13
40104,PI533964,572.4,LN,4,40,13
40105,PI655978,533.4,LN,4,41,13
40106,PI576333,678.8,LN,4,42,13
40107,PI656001,,LN,4,43,13
40108,PI561072,,LN,4,44,13
40109,PI659691,504.3,LN,4,45,13
40111,PI641836,419.7,LN,4,46,13
40112,PI656058,549.4,LN,4,48,13
40113,PI533776,426.4,LN,4,49,13
40115,PI533921,395.6,LN,4,51,13
40116,PI533911,424.5,LN,4,52,13
40117,PI576425,510.6,LN,4,53,13
40118,PI595720,556.8,LN,4,54,13
40119,PI534105,421.3,LN,4,55,13
40120,PI534115,440.1,LN,4,56,13
40121,PI35038,375.8,LN,4,57,13
40123,PI656095,487,LN,4,59,13
40124,PI656022,435.3,LN,4,60,13
40125,PI533967,469.6,LN,4,61,13
40126,PI533878,602.3,LN,4,62,13
40127,PI565121,535.3,LN,4,63,13
40128,PI576130,439.6,LN,4,64,13
40129,PI651496,392.1,LN,4,65,13
40130,PI656041,538.3,LN,4,66,13
40132,PI655970,530,LN,4,68,13
40133,PI585291,,LN,4,69,13
40134,PI656073,419.4,LN,4,70,13
40135,PI656049,443.7,LN,4,71,13
40136,PI659753,522,LN,4,72,13
40201,PI533841,646.1,LN,4,37,14
40202,PI534127,574,LN,4,38,14
40203,PI534112,611.8,LN,4,39,14
40204,PI534128,539,LN,4,40,14
40205,PI576418,,LN,4,41,14
40206,PI655976,566.6,LN,4,42,14
40207,PI655997,351.6,LN,4,43,14
40208,PI576401,566.4,LN,4,44,14
40209,PI656118,436.8,LN,4,45,14
40210,PI656097,496.1,LN,4,46,14
40212,PI656031,506.2,LN,4,48,14
40213,PI533912,639.7,LN,4,49,14
40214,PI533955,690.2,LN,4,50,14
40215,PI533759,358.9,LN,4,51,14
40216,PI533991,438.8,LN,4,52,14
40217,PI597965,542.3,LN,4,53,14
40218,PI576364,402.1,LN,4,54,14
40219,PI576352,629,LN,4,55,14
40220,PI597952,556.5,LN,4,56,14
40222,PI656096,621,LN,4,58,14
40223,PI655983,415.1,LN,4,59,14
40224,PI655991,552.2,LN,4,60,14
40226,PI533927,428.6,LN,4,62,14
40227,PI24969,251.8,LN,4,63,14
40228,PI576345,300.2,LN,4,64,14
40229,PI655995,497.6,LN,4,65,14
40230,PI656042,238.9,LN,4,66,14
40232,PI642992,275.8,LN,4,68,14
40233,PI656111,465.5,LN,4,69,14
40234,PI656086,540.5,LN,4,70,14
40236,PI656092,558.2,LN,4,72,14
40301,PI533842,449.2,LN,4,37,15
40302,PI533869,467.1,LN,4,38,15
40303,PI534096,514.4,LN,4,39,15
40306,PI655972,518,LN,4,42,15
40307,PI576422,555.8,LN,4,43,15
40308,PI576386,516.9,LN,4,44,15
40309,PI655980,,LN,4,45,15
40311,PI656056,639.8,LN,4,47,15
40312,PI598070,438.7,LN,4,48,15
40313,PI533915,458.5,LN,4,49,15
40314,PI533997,486.3,LN,4,50,15
40315,PI533750,626.3,LN,4,51,15
40317,PI629059,502.8,LN,4,53,15
40318,PI597982,473.3,LN,4,54,15
40319,PI534108,537.4,LN,4,55,15
40320,PI629034,,LN,4,56,15
40321,PI655993,413.6,LN,4,57,15
40322,PI656052,484,LN,4,58,15
40323,PI656078,542,LN,4,59,15
40324,PI655971,659.2,LN,4,60,15
40325,PI533824,405,LN,4,61,15
40326,PI276837,464.4,LN,4,62,15
40327,PI533799,397.7,LN,4,63,15
40328,PI48770,541.7,LN,4,64,15
40329,PI595739,411,LN,4,65,15
40330,PI609456,501.7,LN,4,66,15
40331,PI656008,,LN,4,67,15
40332,PI601816,434.8,LN,4,68,15
40333,Tx430,553,LN,4,69,15
40334,PI656048,491.6,LN,4,70,15
40335,PI656107,330.9,LN,4,71,15
40336,PI656057,350.7,LN,4,72,15
40401,PI533757,378.4,LN,4,37,16
40402,PI533919,581,LN,4,38,16
40403,PI533852,603.7,LN,4,39,16
40404,PI534157,604.7,LN,4,40,16
40405,PI642791,552.9,LN,4,41,16
40406,PI597973,649.5,LN,4,42,16
40407,PI656012,575,LN,4,43,16
40408,PI561073,365.7,LN,4,44,16
40409,PI656071,354.2,LN,4,45,16
40411,PI656082,647.1,LN,4,47,16
40413,PI533954,488.6,LN,4,49,16
40414,PI533830,592.9,LN,4,50,16
40415,PI533838,691.7,LN,4,51,16
40416,PI533949,485.1,LN,4,52,16
40417,PI534101,436.2,LN,4,53,16
40418,PI534124,538,LN,4,54,16
40420,PI597971,640.2,LN,4,56,16
40421,PI656005,486.1,LN,4,57,16
40422,PI656000,749.3,LN,4,58,16
40423,PI656094,444.8,LN,4,59,16
40424,PI656085,431.8,LN,4,60,16
40425,PI533882,687.2,LN,4,61,16
40426,PI576359,391,LN,4,62,16
40427,PI533789,481,LN,4,63,16
40428,PI574455,,LN,4,64,16
40430,PI656037,459.5,LN,4,66,16
40432,PI656014,,LN,4,68,16
40433,PI656062,386.7,LN,4,69,16
40434,PI656099,365.4,LN,4,70,16
40435,PI653617,392.5,LN,4,71,16
40436,PI656051,533.2,LN,4,72,16
40501,PI533810,466.3,LN,4,37,17
40503,PI534054,503.6,LN,4,39,17
40504,PI533845,632.8,LN,4,40,17
40506,PI656011,447.9,LN,4,42,17
40507,PI576373,450.8,LN,4,43,17
40508,PI564164,,LN,4,44,17
40509,PI656093,560.5,LN,4,45,17
40510,PI656018,478,LN,4,46,17
40511,PI655989,547.2,LN,4,47,17
40512,PI656079,449,LN,4,48,17
40513,PI533758,580.8,LN,4,49,17
40514,PI533760,,LN,4,50,17
40515,PI533910,521.7,LN,4,51,17
40516,PI533986,438.4,LN,4,52,17
40517,PI597968,,LN,4,53,17
40519,PI597957,518.7,LN,4,55,17
40520,PI597958,495.4,LN,4,56,17
40521,PI656108,548.9,LN,4,57,17
40523,PI656080,498,LN,4,59,17
40524,PI656089,523.3,LN,4,60,17
40525,PI576380,527,LN,4,61,17
40526,PI533989,472.1,LN,4,62,17
40527,PI561472,498.7,LN,4,63,17
40528,PI34911,400.2,LN,4,64,17
40529,PI656024,428.9,LN,4,65,17
40530,PI576428,608.8,LN,4,66,17
40531,PI656036,415.4,LN,4,67,17
40532,PI656023,578.6,LN,4,68,17
40533,Tx430,634.3,LN,4,69,17
40534,PI655984,585.9,LN,4,70,17
40536,PI656068,676.8,LN,4,72,17
40601,PI533761,542.4,LN,4,37,18
40602,PI534148,689.8,LN,4,38,18
40603,PI534155,617.3,LN,4,39,18
40604,PI533901,459.9,LN,4,40,18
40605,PI534163,506.2,LN,4,41,18
40606,PI576376,676.8,LN,4,42,18
40607,PI607931,441.5,LN,4,43,18
40608,PI576375,680.9,LN,4,44,18
40609,PI656072,560.5,LN,4,45,18
40610,PI656075,437.1,LN,4,46,18
40611,PI656059,597.8,LN,4,47,18
40612,PI659695,640.9,LN,4,48,18
40613,PI534070,740.2,LN,4,49,18
40614,PI533866,656.3,LN,4,50,18
40615,PI534037,401.1,LN,4,51,18
40616,PI533948,734.7,LN,4,52,18
40617,PI576390,661.8,LN,4,53,18
40618,PI595714,614.5,LN,4,54,18
40619,PI576394,530.9,LN,4,55,18
40620,PI576339,733.3,LN,4,56,18
40621,PI656060,550.8,LN,4,57,18
40622,PI655982,,LN,4,58,18
40623,PI656115,478,LN,4,59,18
40624,PI656077,710.9,LN,4,60,18
40625,PI561071,479.5,LN,4,61,18
40628,PI534028,599.2,LN,4,64,18
40629,PI656044,513.8,LN,4,65,18
40630,PI656028,465.9,LN,4,66,18
40631,PI597964,502.9,LN,4,67,18
40632,PI597960,499.2,LN,4,68,18
40633,PI656083,527,LN,4,69,18
40634,PI656076,497.6,LN,4,70,18
40635,Tx430,524.7,LN,4,71,18
40636,PI641824,443.5,LN,4,72,18
40701,PI533754,540.2,LN,4,37,19
40702,PI534097,565,LN,4,38,19
40703,PI533913,252.4,LN,4,39,19
40704,PI533769,451.1,LN,4,40,19
40705,PI576332,662.4,LN,4,41,19
40707,PI534116,535.4,LN,4,43,19
40708,PI597961,,LN,4,44,19
40709,PI655985,548.4,LN,4,45,19
