ID	Range	genotype	experiment	sublock	Block	WHOLE WEIGHT (g)	W.W-COBS	20 KERNELS WEIGHT	COB LENGTH (CM)	COB DIA MM
21HL_JY1119	23	BGEM-0192-N	LN	sb3	bk4	33.2666666666667	24.2666666666667	3.7	10.6333333333333	19.4966666666667
21HL_JY1120	23	B73	LN	sb3	bk4	111.166666666667	88.9666666666667	4.1	13.8	28.8633333333333
21HL_JY1121	23	BGEM-0077-S	LN	sb3	bk4	61.5333333333333	43.6	5.73333333333333	14.8666666666667	23.3433333333333
21HL_JY1122	23	BGEM-0180-S	LN	sb3	bk4	60.9333333333333	41.1	5.66666666666667	14.7666666666667	24.9
21HL_JY1123	23	B73	LN	sb3	bk4	107.533333333333	84.3	3.63333333333333	13.6333333333333	28.1166666666667
21HL_JY1124	23	BGEM-0235-N	LN	sb3	bk4	107.1	82.1	5.66666666666667	13.7333333333333	26.1766666666667
21HL_JY1125	23	BGEM-0183-N	LN	sb3	bk4	149.566666666667	115.133333333333	5.6	18.9666666666667	28.8666666666667
21HL_JY1126	23	B73	LN	sb4	bk4	113.533333333333	87.4666666666667	4.8	14.6666666666667	28.6366666666667
21HL_JY1127	23	BGEM-0263-S	LN	sb4	bk4	55.5333333333333	38.1666666666667	4.6	12.0333333333333	25.25
21HL_JY1128	23	BGEM-0193-N	LN	sb4	bk4	38.3	27.9666666666667	3.86666666666667	11.9666666666667	19.5733333333333
21HL_JY1129	23	BGEM-0200-S	LN	sb4	bk4	63.6	46.0333333333333	5.76666666666667	11.6666666666667	25.6833333333333
21HL_JY1130	23	BGEM-0019-S	LN	sb4	bk4	106.133333333333	87.0333333333333	5.33333333333333	14.0333333333333	24.9333333333333
21HL_JY1131	23	B73	LN	sb4	bk4	151.066666666667	123.366666666667	4.43333333333333	15.7	27.9466666666667
21HL_JY1132	23	BGEM-0034-S	LN	sb4	bk4	73.1	62.4333333333333	4.8	9.83333333333333	20.3666666666667
21HL_JY1133	23	BGEM-0022-S	LN	sb4	bk4	105.033333333333	80.4333333333333	3.9	14.5	28.4366666666667
21HL_JY1134	23	B73	LN	sb4	bk4	116.866666666667	92.3333333333333	4.16666666666667	13.6	27
21HL_JY1135	23	B73	LN	sb4	bk4	59.7333333333333	35.1	4.46666666666667	14.1333333333333	28.78
21HL_JY1136	23	BGEM-0107-N	LN	sb4	bk4	107.9	81.4333333333333	5.43333333333333	14.3	26.2633333333333
21HL_JY1137	23	B73	LN	sb4	bk4	82.8	67.2333333333333	4.66666666666667	11.7666666666667	26.3433333333333
21HL_JY1138	23	BGEM-0172-S	LN	sb4	bk4	74.7	59.9666666666667	3.83333333333333	11.4666666666667	25.28
21HL_JY1139	23	BGEM-0033-S	LN	sb4	bk4	16	11.9	3.1	7.8	17.82
21HL_JY1140	23	BGEM-0258-S	LN	sb4	bk4	140.166666666667	113.766666666667	4.23333333333333	15.1666666666667	28.1433333333333
21HL_JY1141	23	BGEM-0043-S	LN	sb4	bk4	42.9666666666667	31.3333333333333	5	12.2333333333333	20.1666666666667
21HL_JY1142	23	B73	LN	sb4	bk4	75.5	53.1666666666667	4.46666666666667	13.9333333333333	28.6733333333333
21HL_JY1143	23	BGEM-0003-N	LN	sb4	bk4	27.2	14.1	6.3	14.2	23.79
21HL_JY1144	23	BGEM-0217-S	LN	sb4	bk4	112.8	87.6333333333333	4.66666666666667	14.8333333333333	27.5966666666667
21HL_JY1145	23	BGEM-0038-N	LN	sb4	bk4	79.2	54.1333333333333	5.23333333333333	14.9333333333333	23.8466666666667
21HL_JY1146	23	BGEM-0236-S	LN	sb4	bk4	81.1666666666667	61.0666666666667	5.33333333333333	13.7	24.0366666666667
